Gene dn_damaging_DD dn_lof_DD mut_damaging mut_lof BF PP
A1BG 0 0 4.54062e-07 9.9966568795329e-07 0.44534319328865 0.0132930318971052
A1BG-AS1 0 0 1.04146e-10 1.42049091705325e-07 0.901534416442514 0.0265483615803965
A1CF 0 0 3.35199e-06 2.14431799247605e-06 0.116430454348712 0.00350978620777274
A2M 0 0 7.82154e-06 3.98179680182521e-06 0.0146914872169539 0.000444236073897484
A2M-AS1 0 0 1.04146e-10 9.14697951316e-08 0.935407587722897 0.0275184083206208
A2ML1 0 0 2.85364e-06 3.77992888639024e-06 0.0399718528529091 0.00120773175269767
A2MP1 0 0 1.04146e-10 3.6329179644879e-07 0.767390581984009 0.022687719986988
A3GALT2 0 0 1.04146e-10 7.36749255349835e-07 0.585180672635179 0.0173944310381647
A4GALT 0 0 2.12507e-06 4.84938030261842e-07 0.478220985232229 0.0142604051433586
A4GNT 0 0 2.10629e-06 5.7164193946073e-07 0.45055672801801 0.0134465579607971
AAAS 0 0 2.36438e-06 1.98187457099816e-06 0.155808987303209 0.00469127991344467
AACS 0 0 6.70801e-06 1.60348122273879e-06 0.0957760319985473 0.00288895913189853
AACSP1 0 0 1.04146e-10 3.80710333894948e-07 0.757731032625151 0.022408537189403
AADAC 0 1 2.12264e-06 7.18550540771185e-07 34.4831067084428 0.510560052751655
AADACL2 0 0 1.64558e-06 1.13676902577344e-06 0.325138774667024 0.00974000171857068
AADACL3 0 0 1.46557e-08 5.1265445266222e-07 0.686624311460931 0.0203484732222371
AADACL4 0 0 1.70049e-06 6.1060617629104e-07 0.471057606815681 0.0140497965394335
AADAT 0 0 3.35852e-06 1.06661239974074e-06 0.252059314013331 0.00756736738470871
AAED1 0 0 1.42418e-06 4.50350926469197e-07 0.556158955727473 0.0165460374258068
AAGAB 0 0 1.22647e-06 1.0953856707412e-06 0.361274944862986 0.010810810079393
AAK1 0 0 2.38746e-06 2.52547877951281e-06 0.105320042497125 0.00317592747068975
AAMDC 0 0 1.12156e-06 3.93579756044543e-07 0.612133533739532 0.0181810357502561
AAMP 0 0 2.9183e-06 9.9657013687098e-07 0.286619026798422 0.00859600607997364
AANAT 0 0 2.02041e-06 5.53359162649175e-07 0.463648229162019 0.0138318606715077
AAR2 0 0 3.21339e-06 6.0630052175568e-07 0.36083009537768 0.0107976421154169
AARD 0 0 1.04146e-10 3.5892935498889e-07 0.769829304990161 0.0227581793816947
AARS 0 0 1.04958e-05 2.97412608000551e-06 0.0191347059089478 0.000578510848898487
AARS2 0 0 9.1222e-06 3.18458006807152e-06 0.0206938285639642 0.000625619233296635
AARSD1 0 0 1.04146e-10 1.05070085513065e-06 0.466320574413209 0.0139104748556043
AASDH 0 0 6.97803e-06 2.18481476005696e-06 0.0603432076228495 0.00182212163830812
AASDHPPT 0 0 1.70302e-06 9.005474461916e-07 0.381661134899097 0.0114138845847598
AASS 0 0 7.57487e-06 2.01165254269877e-06 0.0617127078335525 0.00186339796666283
AATF 0 0 1.04146e-10 1.59047489301382e-06 0.31617048418639 0.00947388885781848
AATK 0 0 6.78647e-06 2.35391744947406e-06 0.0552647054419726 0.00166902728874211
AATK-AS1 0 0 1.04146e-10 2.29555175437436e-07 0.845842482415061 0.0249492641418456
ABAT 0 0 6.71212e-06 1.63912117047712e-06 0.093292109876445 0.00281424571494932
ABCA1 0 0 1.63726e-05 5.8747671186375e-06 0.000991937396253063 3.00062873992562e-05
ABCA10 0 0 1.04146e-10 4.12533594412494e-06 0.0524894933017866 0.00158534708850843
ABCA11P 0 0 1.04146e-10 9.134677247118e-08 0.935491531930851 0.0275208098808036
ABCA12 0 0 1.16029e-05 6.68889848433295e-06 0.00121198216206562 3.66624377133441e-05
ABCA13 1 1 1.01192e-05 9.42292252286165e-06 0.388658117705148 0.0116207033713618
ABCA17P 0 0 1.04146e-10 7.3480771891442e-07 0.586004291819145 0.0174184865884827
