Gene dn_damaging_EPI dn_lof_EPI mut_damaging mut_lof BF PP
A1BG 0 0 4.54062e-07 9.9966568795329e-07 0.940044358762295 0.0145728321567958
A1BG-AS1 0 0 1.04146e-10 1.42049091705325e-07 0.993529468431837 0.0153892135451081
A1CF 0 0 3.35199e-06 2.14431799247605e-06 0.80477146768835 0.0125020109338872
A2M 1 0 7.82154e-06 3.98179680182521e-06 32.0434024547451 0.335147002496801
A2M-AS1 0 0 1.04146e-10 9.14697951316e-08 0.995827200100563 0.0154242551602722
A2ML1 0 0 2.85364e-06 3.77992888639024e-06 0.760342092495028 0.0118199650616611
A2MP1 0 0 1.04146e-10 3.6329179644879e-07 0.983542149924989 0.0152368727029118
A3GALT2 0 0 1.04146e-10 7.36749255349835e-07 0.966915193999966 0.0149831500357746
A4GALT 0 0 2.12507e-06 4.84938030261842e-07 0.906785462373847 0.0140644948822981
A4GNT 0 0 2.10629e-06 5.7164193946073e-07 0.903807008097458 0.0140189458559608
AAAS 0 0 2.36438e-06 1.98187457099816e-06 0.839738708845174 0.0130381396171724
AACS 0 0 6.70801e-06 1.60348122273879e-06 0.732225365512782 0.0113878515305286
AACSP1 0 0 1.04146e-10 3.80710333894948e-07 0.982760203832893 0.0152249433546854
AADAC 0 0 2.12264e-06 7.18550540771185e-07 0.897243779598788 0.0139185605925986
AADACL2 0 0 1.64558e-06 1.13676902577344e-06 0.895357646459798 0.0138897082084856
AADACL3 0 0 1.46557e-08 5.1265445266222e-07 0.976350829043779 0.0151271512132349
AADACL4 0 0 1.70049e-06 6.1060617629104e-07 0.915328020887545 0.0141951115260419
AADAT 0 0 3.35852e-06 1.06661239974074e-06 0.845121995469911 0.0131206261463938
AAED1 0 0 1.42418e-06 4.50350926469197e-07 0.931166214622346 0.0144371876798601
AAGAB 0 0 1.22647e-06 1.0953856707412e-06 0.910539316467035 0.0141218959802988
AAK1 0 0 2.38746e-06 2.52547877951281e-06 0.818513418767951 0.0127127762862647
AAMDC 0 0 1.12156e-06 3.93579756044543e-07 0.943700160070242 0.0146286763625448
AAMP 0 0 2.9183e-06 9.9657013687098e-07 0.861203367587481 0.0133669542225484
AANAT 0 0 2.02041e-06 5.53359162649175e-07 0.90733087640264 0.0140728353561952
AAR2 0 0 3.21339e-06 6.0630052175568e-07 0.867530259969613 0.0134638333458216
AARD 0 0 1.04146e-10 3.5892935498889e-07 0.983738086234226 0.0152398618566108
AARS 0 0 1.04958e-05 2.97412608000551e-06 0.60159202029535 0.0093752386192394
AARS2 0 0 9.1222e-06 3.18458006807152e-06 0.6254965595138 0.00974413811520627
AARSD1 0 0 1.04146e-10 1.05070085513065e-06 0.953159405206343 0.0147731417232143
AASDH 0 0 6.97803e-06 2.18481476005696e-06 0.706279154762009 0.0109887602902708
AASDHPPT 0 0 1.70302e-06 9.005474461916e-07 0.903212604467242 0.0140098552322548
AASS 0 0 7.57487e-06 2.01165254269877e-06 0.696982959940333 0.0108456925971787
AATF 0 0 1.04146e-10 1.59047489301382e-06 0.929973853589291 0.0144189673806882
AATK 0 0 6.78647e-06 2.35391744947406e-06 0.705629996457357 0.010978771140099
AATK-AS1 0 0 1.04146e-10 2.29555175437436e-07 0.989566973407214 0.0153287775539968
ABAT 0 0 6.71212e-06 1.63912117047712e-06 0.730929585596399 0.0113679281529101
ABCA1 0 0 1.63726e-05 5.8747671186375e-06 0.428612228544246 0.00669756813204284
ABCA10 0 0 1.04146e-10 4.12533594412494e-06 0.828543397747523 0.0128665529700579
ABCA11P 0 0 1.04146e-10 9.134677247118e-08 0.995832795411608 0.0154243404886611
ABCA12 0 0 1.16029e-05 6.68889848433295e-06 0.488599997746286 0.00762779715525259
ABCA13 0 0 1.01192e-05 9.42292252286165e-06 0.454843736268667 0.00710455402415417
ABCA17P 0 0 1.04146e-10 7.3480771891442e-07 0.967000889231717 0.0149844580560751
ABCA2 0 0 2.46563e-06 5.42364453615675e-06 0.715370572425036 0.0111286364568088
ABCA3 0 0 1.496e-05 3.68585268993631e-06 0.497591730625351 0.00776708162736251
ABCA4 0 0 1.40623e-05 5.94515047348635e-06 0.463416207839118 0.00723748494916086
ABCA5 0 0 6.09742e-06 4.34729569887361e-06 0.660331843872803 0.0102812313375923
ABCA6 0 0 4.05259e-06 3.70461868747216e-06 0.731119187792311 0.011370843448237
ABCA7 0 0 1.04146e-10 5.11465923858585e-06 0.792083546416332 0.012307331708731
ABCA8 0 0 5.31183e-06 3.91951322683487e-06 0.692341937362317 0.0107742521402733
ABCA9 0 0 4.66181e-06 4.49757097212515e-06 0.690109926817498 0.0107398905515942
ABCB1 0 0 9.90375e-06 3.36758548465779e-06 0.603398943627615 0.00940313301377024
ABCB10 0 0 5.41074e-06 1.51768152166022e-06 0.769707058499371 0.0119638072289039
ABCB11 0 0 9.53304e-06 3.23534983777815e-06 0.615051084120138 0.00958297531182418
ABCB4 0 0 1.01733e-05 3.46634216731508e-06 0.594996590366265 0.00927340827924656
ABCB5 0 0 4.90227e-06 3.99014045971478e-06 0.700225839184451 0.0108956049496063
ABCB6 0 0 9.02535e-06 2.51347067773598e-06 0.647129954987092 0.0100777521251167
ABCB8 0 0 8.32576e-06 1.74975238232126e-06 0.686851264036382 0.0106897194630908
ABCB9 0 0 7.99562e-06 1.39314312510681e-06 0.706321149462153 0.0109894064914396
ABCC1 0 0 1.83215e-05 3.76799229200647e-06 0.440512948152407 0.00688225097413498
ABCC10 0 0 1.27965e-05 3.655563214336e-06 0.537729753209049 0.0083883543793487
ABCC11 0 0 7.71673e-06 3.24350412298892e-06 0.655634044591289 0.0102088342792011
ABCC12 0 0 9.89936e-06 3.27699734325774e-06 0.605987393717611 0.00944308949743851
ABCC13 0 0 1.04146e-10 2.43032066361103e-07 0.988958139453189 0.0153194909583596
ABCC2 0 0 1.08141e-05 3.94603987624866e-06 0.569114042424706 0.00887359153441126
ABCC3 0 0 1.57256e-05 3.46416842295513e-06 0.489284589068653 0.00763840304270033
ABCC4 0 0 8.90039e-06 3.50152400806705e-06 0.62138952169952 0.00968077705778183
ABCC5 0 0 1.30635e-05 3.99196359670286e-06 0.524597638199051 0.00818517577383261
ABCC5-AS1 0 0 1.04146e-10 9.10378842049665e-08 0.995846844394959 0.0154245547353295
ABCC6 0 0 1.04146e-10 3.60423969619902e-06 0.848431046263466 0.0131713229234939
ABCC6P1 0 0 1.04146e-10 4.0981171823113e-07 0.981455209847082 0.0152050337583889
ABCC6P2 0 0 1.04146e-10 4.6642705721345e-08 0.997868147414367 0.015455378587501
ABCC8 0 0 1.17344e-05 4.12791920129708e-06 0.546380571843463 0.00852215339685897
ABCC9 0 0 1.10681e-05 4.08034708642835e-06 0.560595196741711 0.00874192735999332
ABCD2 0 0 5.71191e-06 1.42704472456911e-06 0.764680913869242 0.0118866128455675
ABCD3 0 0 7.09049e-06 2.95970385894288e-06 0.679062362914061 0.0105697792080818
ABCD4 0 0 5.67154e-06 1.93890518199596e-06 0.748107141869487 0.0116319779540177
ABCE1 0 0 4.27255e-06 2.24632378585178e-06 0.775257042783863 0.012049033027904
ABCF1 0 0 6.39956e-06 2.95216084684713e-06 0.696136434842568 0.0108326625875553
ABCF2 0 0 5.28804e-06 2.08413302665767e-06 0.753352074453511 0.0117125738541174
ABCF3 0 0 7.21114e-06 1.99167668530929e-06 0.706664642430833 0.0109946920209422
ABCG1 0 0 7.33343e-06 1.7444832514234e-06 0.711585687950286 0.0110704088574977
ABCG2 0 0 3.8055e-06 2.25855716714583e-06 0.787789572903916 0.0122414290278336
ABCG4 0 0 7.98824e-07 1.36844155942114e-06 0.913071269623265 0.0141606089189113
ABCG5 0 0 3.35843e-06 1.55432313277271e-06 0.826527795116514 0.012835654190278
ABCG8 0 0 4.2081e-06 1.52858893309901e-06 0.802885540576838 0.0124730787543402
ABHD1 0 0 2.56407e-06 1.04739097501498e-06 0.870103104624771 0.0135032240124187
ABHD10 0 0 1.84819e-06 1.01270879739946e-06 0.893968895957137 0.013868463261465
ABHD11 0 0 2.80089e-06 1.11742407840863e-06 0.860050981316412 0.0133493065172625
ABHD12 0 0 3.24709e-06 1.42873302499533e-06 0.834573506014211 0.012958981758834
ABHD12B 0 0 1.23097e-06 9.9282025398005e-07 0.914664391004985 0.014184965793204
