geneName dn_damaging_EPI dn_lof_EPI mut_damaging mut_lof dn_damaging_ID dn_lof_ID dn_damaging_DD dn_lof_DD dn_damaging_ASD dn_lof_ASD dn_silentCFPK_SCZ dn_damaging_SCZ dn_lof_SCZ mut_silentCFPK dn_lof_CHD dn_damaging_CHD
A1BG 0 0 4.54062e-07 9.9966568795329e-07 0 0 0 0 0 0 0 0 0 9.21678e-06 0 0
A1BG-AS1 0 0 1.04146e-10 1.42049091705325e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
A1CF 0 0 3.35199e-06 2.14431799247605e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
A2M 1 0 7.82154e-06 3.98179680182521e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
A2M-AS1 0 0 1.04146e-10 9.14697951316e-08 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
A2ML1 0 0 2.85364e-06 3.77992888639024e-06 0 0 0 0 1 0 0 0 0 9.73801e-07 0 0
A2MP1 0 0 1.04146e-10 3.6329179644879e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
A3GALT2 0 0 1.04146e-10 7.36749255349835e-07 0 0 0 0 0 0 0 0 0 9.0382e-06 0 0
A4GALT 0 0 2.12507e-06 4.84938030261842e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
A4GNT 0 0 2.10629e-06 5.7164193946073e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
AAAS 0 0 2.36438e-06 1.98187457099816e-06 0 0 0 0 0 0 0 0 0 8.92888e-07 0 0
AACS 0 0 6.70801e-06 1.60348122273879e-06 0 0 0 0 0 0 0 0 0 3.97657e-06 0 0
AACSP1 0 0 1.04146e-10 3.80710333894948e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
AADAC 0 0 2.12264e-06 7.18550540771185e-07 0 0 0 1 1 0 0 0 0 1.11606e-10 0 0
AADACL2 0 0 1.64558e-06 1.13676902577344e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
AADACL3 0 0 1.46557e-08 5.1265445266222e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
AADACL4 0 0 1.70049e-06 6.1060617629104e-07 0 0 0 0 0 0 0 0 0 9.76962e-08 0 0
AADAT 0 0 3.35852e-06 1.06661239974074e-06 0 0 0 0 0 0 0 0 0 5.57392e-07 0 0
AAED1 0 0 1.42418e-06 4.50350926469197e-07 0 0 0 0 0 0 0 0 0 3.55345e-06 0 0
AAGAB 0 0 1.22647e-06 1.0953856707412e-06 0 0 0 0 0 0 0 0 0 5.23212e-07 0 0
AAK1 0 0 2.38746e-06 2.52547877951281e-06 0 0 0 0 0 0 0 0 0 1.11364e-06 0 0
